"Orgname1","address"
"PIRATES BASEBALL BOOSTER CLUB","5001 INDIAN CABIN RD, EGG HARBOR CITY, NJ  8215"
"CUYAHOGA COUNTY SECTION NATIONAL CO","P O BOX 93381, CLEVELAND, OH  44101"
"ETHIOPIAN DIASPORA INC","6524 WESTMORE CT, SPRINGFIELD, VA  22150"
"TED R GREEN FOUNDATION","116 RHODE ISLAND AVENUE, EAST ORANGE, NJ  7018"
"BCI FAMILY STRONG","277 E 4600 S, OGDEN, UT  84405"
"EXPERIENTIAL COLLECTIVE","6 PLEASANT COVE ROAD, PHIPPSBURG, ME  4562"
"VILLAGE OF FORT EDWARD CANAL STREET","PO BOX 86, FORT EDWARD, NY  12828"
"THE PINK DELTA PROJECT INC","2518 CRESTBROOK LN, GRAND PRAIRIE, TX  75052"
"FLATHEAD FINANCIAL INC","28548 5TH ST, BIG ARM, MT  59910"
"WATERFRONT PRESERVATION FOUNDATION ","3168 SAND MARSH LANE, MOUNT PLEASANT, SC  29466"
"QUIK HOUSING DEVELOPMENT","1075 JUNIPERO AVE  APT 303, LONG BEACH, CA  90804"
"CARS FOR KIDS INTERNATIONAL","8425 LEISHEAR RD, LAUREL, MD  20723"
"NIVBC INC","71 MACEY LANE, PLATTSBURGH, NY  12901"
"CAPITAL OF TEXAS POLICE MOTORCYCLE ","PO BOX 464, KYLE, TX  78640"
"OXFORD GROUP OF NORTHWEST ARKANSAS ","1116 NE THORN HILL ROAD, BENTONVILLE, AR  72712"
"BATTLEFIELD MINISTRIES INC","3339 W GREENWOOD PL, PEORIA, IL  61615"
"DOMINICS SOCK IT 2 CANCER FOUNDATIO","PO BOX 16104, SHAWNEE, KS  66203"
"LIFE WELL LIVED CHARITY LLC","8920 EVES ROAD UNIT 767424, ROSWELL, GA  30076"
"THE FLYING YETI FOUNDATION","168 WILSON AVENUE, SALT LAKE CITY, UT  84115"
"BRICE HARRIS MEMORIAL ENDOWMENT FUN","8250 HARRIS ROAD, DENHAM SPRINGS, LA  70726"
"OUR SAM FOUNDATION INC","3605 ALLVIEW CIRCLE, CINCINNATI, OH  45238"
"BEREA KENTUCKY KIWANIS CLUB FOUNDAT","P O BOX 806, BEREA, KY  40403"
"AHAVAH COMMUNITY INITIATIVE","7545 N LOG ROAD, PEYTON, CO  80831"
"FRIENDS OF WEST BROOK SKATING RINK","1 COLUMBUS WAY PO BOX 924, BIDDEFORD, ME  4005"
"GARDENING IN THE DISTRICT NON PROFI","1145 EAST 98TH ST, CLEVELAND, OH  44108"
"JAY COUNTY TRAILS CLUB INC","PO BOX 126, PORTLAND, IN  47371"
"VISION AMBASSADORS INC","PO BOX 7052, LOUISVILLE, KY  40206"
"EQUIP TUTORING CENTER INC","300 S WILLIAMS ST, STILWELL, OK  74960"
"HOUSE OF PRIDE AND EQUALITY","518 N OAKLEY AVE, SANTA MARIA, CA  93458"
"RUN HOME INC","1505 MARGARET ST, JACKSONVILLE, FL  32204"
"WOMANPREACH INCORPORATED","3081 COLUMBUS PIKE, DELAWARE, OH  43015"
"KRISTIS KLOSETS","20210 71ST STREET EAST UNIT B, BONNEY LAKE, WA  98391"
"WALWORTH COUNTY COMMUNITY FOUNDATIO","531 SOUTH LAKE SHORE DRIVE, LAKE GENEVA, WI  53147"
"YES EMPOWERING POSSIBILITIES","340 E CENTER STREET, HENEFER, UT  84033"
"SPARC INITIATIVE","244 W DUANE AVE, SUNNYVALE, CA  94085"
"THE HONEY BEE CLUB","PO BOX 1306, FAIRHOPE, AL  36533"
"BAYTOWN PROFESSIONAL FIREFIGHTERS C","318 W TEXAS AVE, BAYTOWN, TX  77520"
"PROJECT PJS","4100 BAYPORT PL SE, MANDAN, ND  58554"
"THE DREAM HIGH SOCIETY","488 COUNTY ROAD 502 A, SWEENY, TX  77480"
"KANSAS CHAPTER OF NOBLE","1411 S SIERRA HILLS, WICHITA, KS  67230"
"SAVING GRACE SANCTUARY","PO BOX 10113, KILLEEN, TX  76549"
"PARKLAND HIGH SCHOOL SWIM DIVE BOOS","2913 VICTORIA LANE, ALLENTOWN, PA  18104"
"LASTING IMPRESSIONS RESCUE AND REHA","15166 COUNTY RD 28, PLATTEVILLE, CO  80651"
"JOSEPHS MISSION","317 ROCK BRIDGE DR, WINDSOR, CO  80550"
"PEDIATRIC SOCIETY OF QUEENS INC","175-41 HILLSIDE AVENUE, JAMAICA, NY  11432"
"WESTERN CROQUET ASSOCIATION INC","5812 E 10TH AVE, DENVER, CO  80220"
"HYDE ELEMENTARY SCHOOL PTO","110 WALLRIDGE DRIVE, MOON TOWNSHIP, PA  15108"
"JEREMIAHS JOURNEY MY LIFE IN A BAG ","PO BOX 407, RUNGE, TX  78151"
"DAY LIGHT BLACK INC","1611 MANCHESTER DRIVE, VINELAND, NJ  8360"
"THE SUPPORTIVE LIVING CONSORTIUM","3011 WEST 183RD STREET APT 210, HOMEWOOD, IL  60430"
"THE HOUSE OF ESTHER MATERNITY EDUCA","1141 RAMSGATE RD APT 4, FLINT, MI  48532"
"ART LIBRARIES SOCIETY OF NORTH AMER","201 EAST BROUGHTON STREET, SAVANNAH, GA  31401"
"BACKYARD GARDENSHARE","2335 S BERKELEY STREET, SALT LAKE CITY, UT  84109"
"PORTAGE COUNTY YOUTH BENEFIT COMMIT","3315 STATE ROUTE 14, ROOTSTOWN, OH  44272"
"SOUTHWEST TUITION 4 KIDS","5119 N 19TH AVE SUITE B, PHOENIX, AZ  85015"
"KIM AND EVANS FAMILY FOUNDATION INC","123 VILLAGE DRIVE, SEAFORD, DE  19973"
"RED MOUNTAIN ELEMENTARY PTO INC","263 E 200 S, IVINS, UT  84738"
"TRANSCENDENTAL POLITICS FOUNDATION","9406 WEST GEDDES PLACE, LITTLETON, CO  80128"
"HOUSTON ENERGY CLUB","719 SAWDUST ROAD SUITE 204, THE WOODLANDS, TX  77380"
"PTSO OF THE UCAPA","1776 RARITAN ROAD, SCOTCH PLAINS, NJ  7076"
"BALTIMORE COMMUNITY BUILDERS INC","801 KEY HWY UNIT 433, BALTIMORE, MD  21230"
"PORTUGUESE AMERICAN CULTURAL EXCHAN","3 LAFAYETTE PLACE, WOBURN, MA  1801"
"BEYWISEE FOUNDATION","20300 FRANZ ROAD SUITE 2  -302, KATY, TX  77449"
"LOVE THE ANIMALS INC","45 BEL AIRE CT, HILLSBOROUGH, CA  94010"
"MARJAN FOUNDATION INC","26 FRENCHS MILL RD, ALTAMONT, NY  12009"
"COMMUNITY IMPROVEMENT CORPORATION O","745 CENTER STREET, MILFORD, OH  45150"
"HOPE BRIGADE SUPPORT GROUP","11641 EAST VIA CANADA, YUMA, AZ  85367"
"CROSSING NATIONS INC","3404 MIDDLE CREEK ROAD, ELIZABETHTOWN, KY  42701"
"HARVARD ALUMNI FOR GLOBAL DEVELOPME","4516 30TH ST NW, WASHINGTON, DC  20008"
"HOMELESS SACRAMENTO IBU","2541 DALE AVENUE, SACRAMENTO, CA  95815"
"LOVE WILL FOUNDATION","14 JORDAN MARIE LANE, OLD MONROE, MO  63369"
"PRETTYGIRL ACADEMY INCORPORATED","16104 ECKHART ROAD, BOWIE, MD  20716"
"SOUNDS OF SUCCESS MUSIC CORPORATION","535 SILVER BEACH RD, RIVIERA BEACH, FL  33404"
"ALUMNUS PROJECT INC","313 W WILSON ST, MADISON, WI  53703"
"ROBERT T SWEGINNIS MEMORIAL FUND","941 W ROSSER STREET, PRESCOTT, AZ  86035"
"FLOYD CENTRAL HIGH SCHOOL ALUMNI AS","6575 OLD VINCENNES ROAD, FLOYDS KNOBS, IN  47119"
"WALKING TREE PREMIUM CATTLE SCHOLAR","PO BOX 640, MT STERLING, KY  40353"
"HOPE WITH JOY MINISTRIES","P O BOX 52, WHITINSVILLE, MA  1588"
"CLINTON FIRE DEPARTMENT WOMENS AUXI","212 S 4TH ST, CLINTON, OK  73601"
"WEST MONROE VOLLEYBALL BOOSTER CLUB","P O BOX 2215, WEST MONROE, LA  71294"
"LADY LIONS SOFTBALL BACKERS","519 FIRST STREET, BROUSSARD, LA  70518"
"A HOUSE OF PRAYER CHURCH - EUSTACE ","404 EDGAR ST, EUSTACE, TX  75124"
"LEMONADE STAND LEARNING","2114 PORTERFIELD WAY, UPLAND, CA  91786"
"WHITLEY COUNTY BOYS BASKETBALL BOOS","61 W WOODSIDE DR, WILLIAMSBURG, KY  40769"
"NEBC EMPLOYMENT RESOURCE SERVICES","4636 W WASHINGTON BLVD, CHICAGO, IL  60438"
"LIL HAWKS WRESTLING CLUB","135 DECATUR STREET, CORNING, NY  14830"
"OUR KIDS","5018 F-30, GLENNIE, MI  48737"
"PAPITA FOUNDATION","13032 NEWHAVEN DRIVE, SANTA ANA, CA  92705"
"GAR FOUNDATION","1427 MORRIS ROAD SE, WASHINGTON, DC  20020"
"WORLEY SCHOOL PTO","1340 23RD ST NW, CANTON, OH  44709"
"WASHINGTON DC SECTION OF THE INSTIT","40 WIGHT AVENUE, HUNT VALLEY, MD  21030"
"JOHN TIRABASSO YOUTH JAZZ ENSEMBLE","959 N SUMMIT AVE, PASADENA, CA  91103"
"YOUTH MOVE MIAMI INC","111 NW 183 ST SUITE 110, MIAMI GARDENS, FL  33169"
"LENNONS HOUSE","17 OAK LANE, GREEN POND, NJ  7435"
"FAMILY OF HOPE MINISTRIES","404 INDIAN TRAIL, ROANOKE, TX  76262"
"AVOYELLES AUTISM NETWORK","148 LOUGARRE, MOREAUVILLE, LA  71355"
"ROCKY MOUNT CEMETERY ASSOCIATION OF","183 DEMOSS ROAD, PLAIN DEALING, LA  71064"
"KIND DAVIDS HOPE","713 QUEENS WAY, VIRGINIA BEACH, VA  23454"
"ELITE 10 YOUTH ATHLETICS INCORPORAT","PO BOX 340801, BROOKLYN, NY  11234"
"DISTINGUISHED SCHOOL OF MENTAL HEAL","655 CRAIG ROAD - SUITE 300, ST LOUIS, MO  63141"
"MALAYALEE ASSOCIATION OF SOUTHWEST","11332 REFLECTION ISLES BLVD, FORT MYERS, FL  33912"
"EXUMA YAHWEH CLOSET INC","4818 CHURCH AVENUE, BROOKLYN, NY  11203"
"BIT TO BYTE - STEM HUB","1605 NW PRAIRIE LAKES DR UNIT 304, ANKENY, IA  50023"
"LADDER INTERNATIONAL INC","P O  BOX 608418, ORLANDO, FL  32860"
"PIGSBURGH SQUEALERS RESCUE","130 LAMPUS LN, TARENTUM PA, PA  15084"
"NORTH PENN ECLIPSE GIRLS SOFTBALL A","1224 ALEXANDER DRIVE, HATFIELD, PA  19440"
"THE NEW ME FOUNDATION","2230 COLLINGWOOD, TOLEDO, OH  43620"
"FILAMMUSICFOUNDATION NFP","1430 RIDGE AVENUE, EVANSTON, IL  60201"
"SELEAVEYA DILLARD MINISTRIES INC","11100 NW 23RD STREET, CORAL SPRINGS, FL  33065"
"MIND BODY BABY LLC","3112 ARUNDEL DRIVE, CHARLOTTE, NC  28209"
"C I HOLDER MINISTRIES INC","604 N HIGHWAY 27  SUITE 10, MINNEOLA, FL  34715"
"BUNNY TNT INC","225 N YALE, WICHITA, KS  67208"
"UTAH ART THERAPY ASSOCIATION","1515 EAST 3300 SOUTH, SALT LAKE CITY, UT  84106"
"THE HARMONY GROUP ASSOCIATION INC","8915 WOODBURN CT, LANHAM, MD  20706"
"FRIENDS OF JOHN PAIRE INC","28 H FOOTE ROAD, CHARLTON, MA  1507"
"MOW DOWN CANCER INC","132 SHORTLEAF PINE DRIVE, SAINT CHARLES, MO  63304"
"STILL WE RISE INC","9575 W ANN ARBOR RD, PLYMOUTH, MI  48170"
"TCS BOOSTERS CLUB","5835 MERWIN CHASE RD, BROOKFIELD, OH  44403"
"CANTON NC LITTLE LEAGUE","16 COOPER STREET, CANTON, NC  28816"
"BKRI CHARITABLE ORGANIZATION","168 FALCON AVENUE, WARWICK, RI  2888"
"BRADDY BASEBALL NO LITTLE LEAGUE FO","121 AFTON WAY, CLINTON, MS  39056"
"I AM JESUS PROJECT","3308 S MEADOWLARK AVE, SPRINGFIELD, MO  65807"
"HADDON TOWNSHIP EDUCATION FOUNDATIO","318 GLENWOOD AVENUE, HADDONFIELD, NJ  8033"
"WILLIAM AND JANICE OLDS SCHOLARSHIP","68324 KLINGER LAKE ROAD, STURGIS, MI  49091"
"AMERICAN MINORITY HOUSING FOUNDATIO","14 CROCKETT, IRVINE, CA  92620"
"GOD FIRST FRIENDS INC","127 E JACKSON ST, MONROE, IN  46772"
"RINGS FOR WARRIORS","800 COTTON DEPOT LN APT 14, FORT WORTH, TX  76102"
"WILCO WEST AGRICULTURE ASSOCIATION","PO BOX 1611, LIBERTY HILL, TX  78642"
"THE SENIOR ASSOCIATION OF SOUTHERN ","26 OLD ORCHARD RD, CHERRY HILL, NJ  8003"
"HOMES 2 HOME YOUTH SERVICES","1700 SOUTH HOLLYWOOD STREET, PHILADELPHIA, PA  19145"
"ARTZ ON THE MOVE","5106 EAST BAKER DRIVE, CAVE CREEK, AZ  85331"
"LACROSSE ASSOCIATION OF WATERTOWN","562 LINKFIELD RD, WATERTOWN, CT  6795"
"LEMOORE YOUTH FOOTBALL","1548 ATLANTIC AVE, LEMOORE, CA  93245"
"JOHN ELLISON COMMUNITY RECOVERY CEN","4688 CAMP CREEK LANE, ORANGE PARK, FL  32065"
"THE GOOD TURN","PO BOX 52705, DURHAM, NC  27707"
"COMMUNITY FOR HUMANITY INC","N3927 COUNTY HIGHWAY J, MONROE, WI  53566"
"SIMPLY CONNECT MISSION","326 13TH STREET   UNIT 5, HUNTINGTON BEACH, CA  92648"
"ASK DAD INC","75 WASHINGTON STREET UNIT 660, FAIRBURN, GA  30213"
"WHOM SHALL I SEND MINISTRIES","16374 JAVARI CT, LAKEVILLE, MN  55044"
"PATTERSON PARK VIKINGS YOUTH FOOTBA","287 SHELBY AVE, AKRON, OH  44310"
"ISAI PERFORMING ARTS","400 W WILSON BRIDGE RD SUITE 230, WORTHINGTON, OH  43085"
"DRESDEN PARENT TEACHER ORGANIZATION","11400 DELVIN DR, STERLING HEIGHTS, MI  48314"
"DESTINED FOR GREATNESS MENTORING IN","PO BOX 14102, DETROIT, MI  48214"
"DINNER IN THE PARK","2113 SALINA STREET, AUSTIN, TX  78722"
"HUB YOUTH CYCLING INCORPORATED","621 BLUFF VIEW DRIVE, PEGRAM, TN  37143"
"WELL DIGGERS INC","526 E MAIN ST SUITE D, GRAYSON, KY  41143"
"MISS CITY OF MARICOPA SCHOLARSHIP O","43300 W WILD HORSE TRL, MARICOPA, AZ  85138"
"TOP SPEED TRACK CLUB","8604 MARIETTA CT, FORT WORTH, TX  76123"
"THE WILL TERRY SCHOLARSHIP FUND","PO BOX 315, DUMONT, CO  80436"
"THE RECYCLING CLUB INC","6435 - 51ST AVE, VERO BEACH, FL  32967"
"ACTIVITIES FOR VETERANS INC","221 DRIGGS DR STE 5043, WINTER PARK, FL  32793"
